id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
15	wack a. (2005)	"<table><tr><td>Authors:</td><td>wack a.; rappuoli r.</td></tr><tr><td>Title:</td><td>vaccinology at the beginning of the 21st century</td></tr><tr><td>Source:</td><td>current opinion in immunology, 17(4 spec. iss.), 411-418</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.coi.2005.05.005	0.5915	-0.0529	2	201	228	70	1.75	2005	70	1.75
16	plotkin s.a. (2005)	"<table><tr><td>Authors:</td><td>plotkin s.a.</td></tr><tr><td>Title:</td><td>six revolutions in vaccinology</td></tr><tr><td>Source:</td><td>pediatric infectious disease journal, 24(1), 1-9</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1097/01.inf.0000148933.08301.02	0.2484	0.1659	6	28	32	39	0.975	2005	39	0.975
17	de la fuente j. (2005)	"<table><tr><td>Authors:</td><td>de la fuente j.; almazán c.; blouin e.f.; naranjo v.; kocan k.m.</td></tr><tr><td>Title:</td><td>rna interference screening in ticks for identification of protective antigens</td></tr><tr><td>Source:</td><td>parasitology research, 96(3), 137-141</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1007/s00436-005-1351-5	0.4816	0.4457	4	137	140	69	1.725	2005	69	1.725
18	ganguli i. (2005)	"<table><tr><td>Authors:</td><td>ganguli i.</td></tr><tr><td>Title:</td><td>reverse vaccinology success story</td></tr><tr><td>Source:</td><td>scientist, 19(15), 26</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"		0.9757	-0.137	2	63	63	0	0	2005	0	0
19	perrett k.p. (2005)	"<table><tr><td>Authors:</td><td>perrett k.p.; pollard a.j.</td></tr><tr><td>Title:</td><td>towards an improved serogroup b neisseria meningitidis vaccine</td></tr><tr><td>Source:</td><td>expert opinion on biological therapy, 5(12), 1611-1625</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1517/14712598.5.12.1611	1.5828	-0.1143	2	194	655	28	0.7	2005	28	0.7
20	jacobsson s. (2006)	"<table><tr><td>Authors:</td><td>jacobsson s.; thulin s.; mölling p.; unemo m.; comanducci m.; rappuoli r.; olcén p.</td></tr><tr><td>Title:</td><td>sequence constancies and variations in genes encoding three new meningococcal vaccine candidate antigens</td></tr><tr><td>Source:</td><td>vaccine, 24(12), 2161-2168</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2005.11.006	1.198	0.033	2	248	491	50	0.5348	2006	50	0.5348
21	cantini f. (2006)	"<table><tr><td>Authors:</td><td>cantini f.; savino s.; scarselli m.; masignani v.; pizza m.; romagnoli g.; swennen e.; veggi d.; banci l.; rappuoli r.</td></tr><tr><td>Title:</td><td>solution structure of the immunodominant domain of protective antigen gna1870 of neisseria meningitidis</td></tr><tr><td>Source:</td><td>journal of biological chemistry, 281(11), 7220-7227</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1074/jbc.m508595200	1.5923	-0.0643	2	64	140	35	0.3743	2006	35	0.3743
22	danzig l. (2006)	"<table><tr><td>Authors:</td><td>danzig l.</td></tr><tr><td>Title:</td><td>reverse vaccinology - in search of a genome-derived meningococcal vaccine</td></tr><tr><td>Source:</td><td>vaccine, 24(suppl. 2), s11-s12</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2005.01.103	1.2589	-0.1489	2	186	301	8	0.0856	2006	8	0.0856
23	girard m.p. (2006)	"<table><tr><td>Authors:</td><td>girard m.p.; preziosi m.-p.; aguado m.-t.; kieny m.p.</td></tr><tr><td>Title:</td><td>a review of vaccine research and development: meningococcal disease</td></tr><tr><td>Source:</td><td>vaccine, 24(22), 4692-4700</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2006.03.034	1.3431	-0.0741	2	225	480	161	1.7219	2006	161	1.7219
24	hotez p.j. (2006)	"<table><tr><td>Authors:</td><td>hotez p.j.</td></tr><tr><td>Title:</td><td>combating parasitic diseases in innovative developing countries by reverse vaccinology</td></tr><tr><td>Source:</td><td>parasite immunology, 28(6), 242-243</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1111/j.1365-3024.2006.00834.x	0.1042	-0.2468	3	21	21	3	0.0321	2006	3	0.0321
25	vivona s. (2006)	"<table><tr><td>Authors:</td><td>vivona s.; bernante f.; filippini f.</td></tr><tr><td>Title:</td><td>nerve: new enhanced reverse vaccinology environment</td></tr><tr><td>Source:</td><td>bmc biotechnology, 6</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1186/1472-6750-6-35	0.505	0.605	2	283	626	61	0.6524	2006	61	0.6524
26	giuliani m.m. (2006)	"<table><tr><td>Authors:</td><td>giuliani m.m.; adu-bobie j.; comanducci m.; aricò b.; savino s.; santini l.; brunelli b.; bambini s.; biolchi a.; capecchi b.; cartocci e.; ciucchi l.; di marcello f.; ferlicca f.; galli b.; luzzi e.; masignani v.; serruto d.; veggi d.; contorni m.; morandi m.; bartalesi a.; cinotti v.; mannucci d.; titta f.; ovidi e.; welsch j.a.; granoff d.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>a universal vaccine for serogroup b meningococcus</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 103(29), 10834-10839</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1073/pnas.0603940103	1.2833	-0.0118	2	259	626	591	6.3209	2006	591	6.3209
27	serino l. (2006)	"<table><tr><td>Authors:</td><td>serino l.; bambini s.; comanducci m.; pizza m.; rappuoli r.</td></tr><tr><td>Title:</td><td>meningococcal diseases: from genomes to vaccines</td></tr><tr><td>Source:</td><td>drug discovery today: therapeutic strategies, 3(2), 129-136</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.ddstr.2006.06.011	1.2681	0.0024	2	261	725	1	0.0107	2006	1	0.0107
28	tettelin h. (2006)	"<table><tr><td>Authors:</td><td>tettelin h.; medini d.; donati c.; masignani v.</td></tr><tr><td>Title:</td><td>towards a universal group b streptococcus vaccine using multistrain genome analysis</td></tr><tr><td>Source:</td><td>expert review of vaccines, 5(5), 687-694</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1586/14760584.5.5.687	1.0957	-0.1565	2	202	365	23	0.246	2006	23	0.246
29	mora m. (2006)	"<table><tr><td>Authors:</td><td>mora m.; donati c.; medini d.; covacci a.; rappuoli r.</td></tr><tr><td>Title:</td><td>microbial genomes and vaccine design: refinements to the classical reverse vaccinology approach</td></tr><tr><td>Source:</td><td>current opinion in microbiology, 9(5), 532-536</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.mib.2006.07.003	0.9749	-0.1719	2	215	515	67	0.7166	2006	67	0.7166
30	stranger-jones y.k. (2006)	"<table><tr><td>Authors:</td><td>stranger-jones y.k.; bae t.; schneewind o.</td></tr><tr><td>Title:</td><td>vaccine assembly from surface proteins of staphylococcus aureus</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 103(45), 16942-16947</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1073/pnas.0606863103	0.8441	-0.171	2	142	221	246	2.631	2006	246	2.631
31	yang h.-l. (2006)	"<table><tr><td>Authors:</td><td>yang h.-l.; zhu y.-z.; qin j.-h.; he p.; jiang x.-c.; zhao g.-p.; guo x.-k.</td></tr><tr><td>Title:</td><td>in silico and microarray-based genomic approaches to identifying potential vaccine candidates against leptospira interrogans</td></tr><tr><td>Source:</td><td>bmc genomics, 7</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1186/1471-2164-7-293	0.3057	-0.5225	7	258	446	49	0.5241	2006	49	0.5241
32	mahan s.m. (2006)	"<table><tr><td>Authors:</td><td>mahan s.m.</td></tr><tr><td>Title:</td><td>diagnosis and control of heartwater, ehrlichia ruminantium, infection: an update</td></tr><tr><td>Source:</td><td>cab reviews: perspectives in agriculture, veterinary science, nutrition and natural resources, 1</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1079/pavsnnr20061055	1.2921	-0.3442	2	3	11	6	0.0642	2006	6	0.0642
33	kulkarni-kale u. (2006)	"<table><tr><td>Authors:</td><td>kulkarni-kale u.; bhosle s.g.; manjari g.s.; joshi m.; bansode s.; kolaskar a.s.</td></tr><tr><td>Title:</td><td>curation of viral genomes: challenges, applications and the way forward</td></tr><tr><td>Source:</td><td>bmc bioinformatics, 7(suppl.5)</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1186/1471-2105-7-s5-s12	-0.6163	0.0848	1	103	135	8	0.0856	2006	8	0.0856
34	ghate a.d. (2007)	"<table><tr><td>Authors:</td><td>ghate a.d.; bhagwat b.u.; bhosle s.g.; gadepalli s.m.; kulkarni-kale u.d.</td></tr><tr><td>Title:</td><td>characterization of antibody-binding sites on proteins: development of a knowledgebase and its applications in improving epitope prediction</td></tr><tr><td>Source:</td><td>protein and peptide letters, 14(6), 531-535</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.2174/092986607780989921	-0.4553	0.2013	1	111	172	12	0.0936	2007	12	0.0936
35	doytchinova i.a. (2007)	"<table><tr><td>Authors:</td><td>doytchinova i.a.; flower d.r.</td></tr><tr><td>Title:</td><td>vaxijen: a server for prediction of protective antigens, tumour antigens and subunit vaccines</td></tr><tr><td>Source:</td><td>bmc bioinformatics, 8</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1186/1471-2105-8-4	0.6767	-0.1437	2	239	320	805	6.2782	2007	805	6.2782
36	warger t. (2007)	"<table><tr><td>Authors:</td><td>warger t.; schild h.; rechtsteiner g.</td></tr><tr><td>Title:</td><td>initiation of adaptive immune responses by transcutaneous immunization</td></tr><tr><td>Source:</td><td>immunology letters, 109(1), 13-20</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.imlet.2007.01.007	0.2239	-0.0505	3	61	68	52	0.4055	2007	52	0.4055
37	gat o. (2007)	"<table><tr><td>Authors:</td><td>gat o.; grosfeld h.; shafferman a.</td></tr><tr><td>Title:</td><td>in vitro screen of bioinformatically selected bacillus anthracis vaccine candidates by coupled transcription, translation, and immunoprecipitation analysis</td></tr><tr><td>Source:</td><td>methods in molecular biology, 375, 211-233</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1385/1-59745-388-9:211	0.4815	-0.0183	4	37	45	9	0.0702	2007	9	0.0702
38	barocchi m.a. (2007)	"<table><tr><td>Authors:</td><td>barocchi m.a.; censini s.; rappuoli r.</td></tr><tr><td>Title:</td><td>vaccines in the era of genomics: the pneumococcal challenge</td></tr><tr><td>Source:</td><td>vaccine, 25(16 spec. iss.), 2963-2973</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2007.01.065	0.9466	-0.0545	2	270	647	80	0.6239	2007	80	0.6239
39	davies m.n. (2007)	"<table><tr><td>Authors:</td><td>davies m.n.; flower d.r.</td></tr><tr><td>Title:</td><td>harnessing bioinformatics to discover new vaccines</td></tr><tr><td>Source:</td><td>drug discovery today, 12(9-10), 389-395</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.drudis.2007.03.010	0.2111	-0.2618	2	351	779	128	0.9983	2007	128	0.9983
40	kanoi b.n. (2007)	"<table><tr><td>Authors:</td><td>kanoi b.n.; egwang t.g.</td></tr><tr><td>Title:</td><td>new concepts in vaccine development in malaria</td></tr><tr><td>Source:</td><td>current opinion in infectious diseases, 20(3), 311-316</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1097/qco.0b013e32816b5cc2	0.8643	-0.0514	2	180	190	11	0.0858	2007	11	0.0858
41	graham s.p. (2007)	"<table><tr><td>Authors:</td><td>graham s.p.; honda y.; pellé r.; mwangi d.m.; glew e.j.; de villiers e.p.; shah t.; bishop r.; van der bruggen p.; nene v.; taracha e.l.n.</td></tr><tr><td>Title:</td><td>a novel strategy for the identification of antigens that are recognised by bovine mhc class i restricted cytotoxic t cells in a protozoan infection using reverse vaccinology</td></tr><tr><td>Source:</td><td>immunome research, 3(1)</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1186/1745-7580-3-2	0.8829	0.0472	2	49	79	33	0.2574	2007	33	0.2574
42	amela i. (2007)	"<table><tr><td>Authors:</td><td>amela i.; cedano j.; querol e.</td></tr><tr><td>Title:</td><td>pathogen proteins eliciting antibodies do not share epitopes with host proteins: a bioinformatics approach</td></tr><tr><td>Source:</td><td>plos one, 2(6)</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1371/journal.pone.0000512	0.5005	-0.0213	2	342	724	24	0.1872	2007	24	0.1872
43	moriel d.g. (2008)	"<table><tr><td>Authors:</td><td>moriel d.g.; scarselli m.; serino l.; mora m.; rappuoli r.; masignani v.</td></tr><tr><td>Title:</td><td>genome-based vaccine development: a short cut for the future</td></tr><tr><td>Source:</td><td>human vaccines, 4(3), 184-188</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.4161/hv.4.3.6313	0.9463	-0.1957	2	213	459	32	0.4336	2008	32	0.4336
44	vivona s. (2008)	"<table><tr><td>Authors:</td><td>vivona s.; gardy j.l.; ramachandran s.; brinkman f.s.l.; raghava g.p.s.; flower d.r.; filippini f.</td></tr><tr><td>Title:</td><td>computer-aided biotechnology: from immuno-informatics to reverse vaccinology</td></tr><tr><td>Source:</td><td>trends in biotechnology, 26(4), 190-200</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.tibtech.2007.12.006	-0.0541	-0.0888	1	407	1124	73	0.9892	2008	73	0.9892
45	hsu c.-a. (2008)	"<table><tr><td>Authors:</td><td>hsu c.-a.; lin w.-r.; li j.-c.; liu y.-l.; tseng y.-t.; chang c.-m.; lee y.-s.; yang c.-y.</td></tr><tr><td>Title:</td><td>immunoproteomic identification of the hypothetical protein nmb1468 as a novel lipoprotein ubiquitous in neisseria meningitidis with vaccine potential</td></tr><tr><td>Source:</td><td>proteomics, 8(10), 2115-2125</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1002/pmic.200700574	1.0176	-0.2873	2	224	591	43	0.5827	2008	43	0.5827
46	dziva f. (2008)	"<table><tr><td>Authors:</td><td>dziva f.; stevens m.p.</td></tr><tr><td>Title:</td><td>colibacillosis in poultry: unravelling the molecular basis of virulence of avian pathogenic escherichia coli in their natural hosts</td></tr><tr><td>Source:</td><td>avian pathology, 37(4), 355-366</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1080/03079450802216652	0.7812	-0.2198	2	94	112	202	2.7371	2008	202	2.7371
47	movahedi a.(r.) (2008)	"<table><tr><td>Authors:</td><td>movahedi a.(r.), hampson d.j.</td></tr><tr><td>Title:</td><td>new ways to identify novel bacterial antigens for vaccine development</td></tr><tr><td>Source:</td><td>veterinary microbiology, 131(1-2), 1-13</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.vetmic.2008.02.011	0.713	-0.1182	2	330	1029	19	0.2575	2008	19	0.2575
48	seib k.l. (2009)	"<table><tr><td>Authors:</td><td>seib k.l.; serruto d.; oriente f.; delany i.; adu-bobie j.; veggi d.; aricò b.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>factor h-binding protein is important for meningococcal survival in human whole blood and serum and in the presence of the antimicrobial peptide ll-37</td></tr><tr><td>Source:</td><td>infection and immunity, 77(1), 292-299</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1128/iai.01071-08	1.6265	-0.1834	2	101	226	91	2.3472	2009	91	2.3472
49	liu l. (2009)	"<table><tr><td>Authors:</td><td>liu l.; cheng g.; wang c.; pan x.; cong y.; pan q.; wang j.; zheng f.; hu f.; tang j.</td></tr><tr><td>Title:</td><td>identification and experimental verification of protective antigens against streptococcus suis serotype 2 based on genome sequence analysis</td></tr><tr><td>Source:</td><td>current microbiology, 58(1), 11-17</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1007/s00284-008-9258-x	0.8407	-0.2037	2	206	374	40	1.0317	2009	40	1.0317
50	gouré j. (2009)	"<table><tr><td>Authors:</td><td>gouré j.; findlay w.a.; deslandes v.; bouevitch a.; foote s.j.; macinnes j.i.; coulton j.w.; nash j.h.e.; jacques m.</td></tr><tr><td>Title:</td><td>microarray-based comparative genomic profiling of reference strains and selected canadian field isolates of actinobacillus pleuropneumoniae</td></tr><tr><td>Source:</td><td>bmc genomics, 10</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1186/1471-2164-10-88	0.4276	0.1274	5	15	19	21	0.5417	2009	21	0.5417
51	bambini s. (2009)	"<table><tr><td>Authors:</td><td>bambini s.; rappuoli r.</td></tr><tr><td>Title:</td><td>the use of genomics in microbial vaccine development</td></tr><tr><td>Source:</td><td>drug discovery today, 14(5-6), 252-260</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.drudis.2008.12.007	0.8516	-0.0961	2	283	924	93	2.3988	2009	93	2.3988
52	sałamaszyńska-guz a. (2009)	"<table><tr><td>Authors:</td><td>sałamaszyńska-guz a.; klimuszko d.</td></tr><tr><td>Title:</td><td>strategies of constructing recombinant vaccines</td></tr><tr><td>Source:</td><td>polish journal of veterinary sciences, 12(1), 133-139</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"		0.4858	0.3029	4	166	203	2	0.0516	2009	2	0.0516
53	magagnoli c. (2009)	"<table><tr><td>Authors:</td><td>magagnoli c.; bardotti a.; de conciliis g.; galasso r.; tomei m.; campa c.; pennatini c.; cerchioni m.; fabbri b.; giannini s.; mattioli g.l.; biolchi a.; d'ascenzi s.; helling f.</td></tr><tr><td>Title:</td><td>structural organization of nadaδ351-405, a recombinant menb vaccine component, by its physico-chemical characterization at drug substance level</td></tr><tr><td>Source:</td><td>vaccine, 27(15), 2156-2170</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2009.01.099	1.2341	-0.0169	2	264	621	14	0.3611	2009	14	0.3611
54	serruto d. (2009)	"<table><tr><td>Authors:</td><td>serruto d.; serino l.; masignani v.; pizza m.</td></tr><tr><td>Title:</td><td>genome-based approaches to develop vaccines against bacterial pathogens</td></tr><tr><td>Source:</td><td>vaccine, 27(25-26), 3245-3250</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2009.01.072	1.185	-0.1228	2	245	710	61	1.5734	2009	61	1.5734
55	song y. (2009)	"<table><tr><td>Authors:</td><td>song y.; la t.; phillips n.d.; bellgard m.i.; hampson d.j.</td></tr><tr><td>Title:</td><td>a reverse vaccinology approach to swine dysentery vaccine development</td></tr><tr><td>Source:</td><td>veterinary microbiology, 137(1-2), 111-119</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.vetmic.2008.12.018	0.644	-0.0998	2	238	338	22	0.5675	2009	22	0.5675
56	tettelin h. (2009)	"<table><tr><td>Authors:</td><td>tettelin h.</td></tr><tr><td>Title:</td><td>the bacterial pan-genome and reverse vaccinology</td></tr><tr><td>Source:</td><td>genome dynamics, 6, 35-47</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1159/000235761	0.895	-0.0307	2	283	680	16	0.4127	2009	16	0.4127
57	sardiñas g. (2009)	"<table><tr><td>Authors:</td><td>sardiñas g.; climent y.; rodríguez y.; gonzález s.; garcía d.; cobas k.; caballero e.; pérez y.; brookes c.; taylor s.; gorringe a.; delgado m.; pajón r.; yero d.</td></tr><tr><td>Title:</td><td>assessment of vaccine potential of the neisseria-specific protein nmb0938</td></tr><tr><td>Source:</td><td>vaccine, 27(49), 6910-6917</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.vaccine.2009.09.005	1.0939	-0.1387	2	244	584	14	0.3611	2009	14	0.3611
58	moriel d.g. (2009)	"<table><tr><td>Authors:</td><td>moriel d.g.; scarselli m.; serino l.; mora m.; rappuoli r.; masignani v.</td></tr><tr><td>Title:</td><td>genome-based vaccine development: a short cut for the future</td></tr><tr><td>Source:</td><td>advances in experimental medicine and biology, 655, 81-89</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1007/978-1-4419-1132-2_8	0.7614	-0.0526	2	277	628	6	0.1548	2009	6	0.1548
59	steer a.c. (2009)	"<table><tr><td>Authors:</td><td>steer a.c.; batzloff m.r.; mulholland k.; carapetis j.r.</td></tr><tr><td>Title:</td><td>group a streptococcal vaccines: facts versus fantasy</td></tr><tr><td>Source:</td><td>current opinion in infectious diseases, 22(6), 544-552</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1097/qco.0b013e328332bbfe	1.041	-0.0125	2	21	31	82	2.1151	2009	82	2.1151
60	xiang z. (2009)	"<table><tr><td>Authors:</td><td>xiang z.; he y.</td></tr><tr><td>Title:</td><td>vaxign: a web-based vaccine target design program for reverse vaccinology</td></tr><tr><td>Source:</td><td>procedia in vaccinology, 1(1), 23-29</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.provac.2009.07.005	0.5748	0.0044	4	276	457	42	1.0833	2009	42	1.0833
61	mora m. (2010)	"<table><tr><td>Authors:</td><td>mora m.; telford j.l.</td></tr><tr><td>Title:</td><td>genome-based approaches to vaccine development</td></tr><tr><td>Source:</td><td>journal of molecular medicine, 88(2), 143-147</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1007/s00109-009-0574-9	0.8439	0.0916	2	266	652	16	0.1815	2010	16	0.1815
